date,Q_m3d,storage_m3,substeps
2018-07-31,3561.641051362273,1657678.7817953525,243
2018-08-01,3709.6016297149094,1652546.1870084056,243
2018-08-02,3660.895830300133,1647462.2980208735,243
2018-08-03,3612.8524381024386,1642426.452425539,243
2018-08-04,3565.5580402428373,1637437.9012280642,243
2018-08-05,3518.8776284758555,1632496.0304423564,243
2018-08-06,3472.7465024822945,1627600.290782642,243
2018-08-07,3426.9888381207916,1622750.3087872893,243
2018-08-08,3379.372270049955,1617947.9433600074,243
2018-08-09,3331.629901102939,1613193.3203016724,243
2018-08-10,3286.7512760716113,1608483.5758683688,243
2018-08-11,3242.764631796125,1603817.8180793407,243
2018-08-12,3199.7236728656194,1599195.1012492431,243
2018-08-13,3157.6190347049474,1594614.4890573062,243
2018-08-14,3116.215496855983,1590075.2804032182,243
2018-08-15,3076.252232878664,1585576.0350131076,243
2018-08-16,3036.8241447209934,1581116.2177111546,243
2018-08-17,2997.902558326218,1576695.3219955964,243
2018-08-18,2959.3808892506263,1572312.9479491138,243
2018-08-19,2921.264218884948,1567968.6905729969,243
2018-08-20,2883.85580251269,1563661.8416132522,243
2018-08-21,2847.049781174594,1559391.7986748456,243
2018-08-22,2810.801259767925,1555158.0042578457,243
2018-08-23,2775.025130287008,1550959.9859703267,243
2018-08-24,2740.0036696882075,1546796.9891434065,243
2018-08-25,2705.4535374417524,1542668.5424487328,243
2018-08-26,2666.5913662355947,1538578.9579252652,243
2018-08-27,2632.3759082567035,1534523.5888597765,243
2018-08-28,2596.6523362889043,1530503.9433662556,243
2018-08-29,2562.8960389955523,1526518.054170028,243
2018-08-30,2530.4940524736508,1522564.5669603224,243
2018-08-31,2498.459982684543,1518643.113820406,243
2018-09-01,2692.123911576181,1514948.3635037697,243
2018-09-02,2665.5189881379,1511280.2181105718,243
2018-09-03,2638.7631294623234,1507638.8285760495,243
2018-09-04,2611.9010251928803,1504024.3011457967,243
2018-09-05,2585.0522917037115,1500436.622449033,243
2018-09-06,2558.229440294973,1496875.766603678,243
2018-09-07,2531.426153083633,1493341.7140455344,243
2018-09-08,2504.6975487808913,1489834.3900916935,243
2018-09-09,2478.1273131126754,1486353.6363735208,243
2018-09-10,2451.8254320044753,1482899.1845364564,243
2018-09-11,2425.844081897124,1479470.7140494992,243
2018-09-12,2400.0868829228666,1476068.0007615164,243
2018-09-13,2374.4886720658496,1472690.8856843906,243
2018-09-14,2349.089981748092,1469339.1692975825,243
2018-09-15,2324.1057521121793,1466012.4371404103,243
2018-09-16,2299.303546259248,1462710.507189091,243
2018-09-17,2274.6787151068665,1459433.2020689242,243
2018-09-18,2250.246364179601,1456180.3292996846,243
2018-09-19,2226.0448334681087,1452951.6580611565,243
2018-09-20,2202.165002161705,1449746.8666539348,243
2018-09-21,2178.5055853501644,1446565.7346635247,243
2018-09-22,2155.1662759164565,1443407.9419825482,243
2018-09-23,2132.1022810566456,1440273.2132964316,243
2018-09-24,2109.3424814961136,1437161.2444098755,243
2018-09-25,2086.778794478926,1434071.8392103366,243
2018-09-26,2064.4065375340388,1431004.8062677425,243
2018-09-27,2042.474433690145,1427959.7054289924,243
2018-09-28,2020.8297796778597,1424936.2492442545,243
2018-09-29,1999.4682217746258,1421934.15461742,243
2018-09-30,1978.4495319834195,1418953.0786803765,243
2018-10-01,2232.6804595139924,1416245.0385463745,243
2018-10-02,2218.455066525575,1413551.223805361,243
2018-10-03,2203.685512074467,1410872.1786187985,243
2018-10-04,2188.4846569758024,1408208.3342873347,243
2018-10-05,2172.9935073030297,1405559.9811055437,243
2018-10-06,2157.386735235073,1402927.2346958206,243
2018-10-07,2141.8954812641837,1400309.9795400684,243
2018-10-08,2126.3385457466006,1397708.2813198338,243
2018-10-09,2110.822801620199,1395122.0988437256,243
2018-10-10,2095.2527301075984,1392551.48643913,243
2018-10-11,2079.6440858069923,1389996.482678835,243
2018-10-12,2064.037719147245,1387457.0852851998,243
2018-10-13,2048.462964417378,1384933.2626462944,243
2018-10-14,2032.3235776978195,1382425.5793941086,243
2018-10-15,2016.5270810299203,1379933.6926385907,243
2018-10-16,2000.945105949149,1377457.3878581536,243
2018-10-17,1985.4235830101766,1374996.6046006554,243
2018-10-18,1969.969881954335,1372551.275044213,243
2018-10-19,1954.589571864542,1370121.3257978605,243
2018-10-20,1939.2871356203336,1367706.6789877522,243
2018-10-21,1924.0658029701676,1365307.253510294,243
2018-10-22,1908.937581478583,1362922.9562543274,243
2018-10-23,1893.9580912482575,1360553.6384885912,243
2018-10-24,1879.0724197395261,1358199.2063943637,243
2018-10-25,1864.3267167578101,1355859.5200031179,243
2018-10-26,1849.7055883607477,1353534.454740269,243
2018-10-27,1835.1697149427723,1351223.9253508383,243
2018-10-28,1820.7325501038808,1348927.8331262465,243
2018-10-29,1806.5308782192528,1346645.9425735392,243
2018-10-30,1792.6792656012926,1344377.90363345,243
2018-10-31,1779.0791479162522,1342123.4648110457,243
2018-11-01,1917.3432979222498,1340043.0089533054,243
2018-11-02,1907.9221995498165,1337971.9741939376,243
2018-11-03,1898.229536948923,1335910.6320971707,243
2018-11-04,1888.2484941503144,1333859.2710432024,243
2018-11-05,1878.064683708094,1331818.0937996763,243
2018-11-06,1867.7417312229163,1329787.2395086354,243
2018-11-07,1857.2912553760334,1327766.8356934413,243
2018-11-08,1846.7755023629516,1325756.9476312604,243
2018-11-09,1836.3259115409683,1323757.5091599014,243
2018-11-10,1825.7870332095417,1321768.6095668739,243
2018-11-11,1815.2705772055424,1319790.2264298503,243
2018-11-12,1804.865876014076,1317822.2479940183,243
2018-11-13,1794.597999434417,1315864.5374347658,243
2018-11-14,1784.4442996563967,1313916.9805752914,243
2018-11-15,1774.2760826700478,1311979.5919328034,243
2018-11-16,1764.1021775474883,1310052.377195438,243
2018-11-17,1753.9294766280445,1308135.3351589919,243
2018-11-18,1743.7607970093022,1306228.4618021646,243
2018-11-19,1733.5956500367838,1304331.7535923098,243
2018-11-20,1723.436675534781,1302445.204356957,243
2018-11-21,1713.4294849433581,1300568.6623121956,243
2018-11-22,1703.5920400200057,1298701.9577123576,243
2018-11-23,1693.7815790408868,1296845.0635734987,243
2018-11-24,1683.7894139187056,1294998.161599762,243
