recharge_mm_day,recharge_m3d,pumping_m3d,groundwater_to_stream_m3d,groundwater_discharge_m3d,stream_loss_to_groundwater_m3d,saturation_excess_m3d,landlab_saturation_excess_m3d,landlab_surface_flux_integration_error_m3d,total_streamflow_m3d,Q_m3d,storage_m3,storage_change_m3,mass_balance_streamflow_m3d,mass_balance_error_m3d,mass_balance_error_pct,streamflow_availability_roundoff_m3d,substeps,pumping_chunks,unavailable_stream_loss_m3d,stream_limiter_substeps,stream_limiter_max_iterations_used,stream_limiter_max_dry_reaches,stream_limiter_numerical_clip_m3,date,initial_storage_m3,scheduled_pumping_m3d
0.0,0.0,0.0,12974.172743295081,12974.172743295081,0.0,19617.741906009134,19617.741906009123,-1.0913936421275139e-11,32591.914649304214,32591.914649304214,2879351.158557353,-32591.914662708063,32591.914662708063,1.3403849152382463e-05,4.112630169506199e-08,0.0,243,1,0.0,243,2,0,1.0734806867149474e-08,2010-03-25,6522.536169929949,0.0
0.0,0.0,0.0,12594.069468829322,12594.069468829322,0.0,18719.31514743321,18719.31514743321,0.0,31313.384616262534,31313.384616262534,2848037.773927813,-31313.384629540145,31313.384629540145,1.327761128777638e-05,4.240235108679585e-08,0.0,243,1,0.0,243,2,0,1.0642754665414347e-08,2010-03-26,6522.536169929949,0.0
0.0,0.0,0.0,12235.663170773758,12235.663170773758,0.0,17884.96892984089,17884.968929840892,3.637978807091713e-12,30120.632100614646,30120.632100614646,2817917.141814069,-30120.63211374404,30120.63211374404,1.312939275521785e-05,4.358936660305648e-08,0.0,243,1,0.0,243,2,0,1.056282604996057e-08,2010-03-27,6522.536169929949,0.0
0.0,0.0,0.0,11896.818945959154,11896.818945959154,0.0,17115.534686465995,17115.53468646599,-3.637978807091713e-12,29012.35363242515,29012.35363242515,2788904.7881686464,-29012.353645422496,29012.353645422496,1.2997345038456842e-05,4.47993471929415e-08,0.0,243,1,0.0,243,2,0,1.0445423687500442e-08,2010-03-28,6522.536169929949,0.0
0.89825722587236,13380.164051718035,0.0,11733.209190327998,11733.209190327998,0.0,18173.1045415705,18173.104541570494,-7.275957614183426e-12,29906.3137318985,29906.3137318985,2772378.6384802368,-16526.14968840964,29906.313740127676,8.22917718323879e-06,2.7516521283803134e-08,0.0,242,1,0.0,242,2,0,1.2271875179433073e-08,2010-03-29,6522.536169929949,0.0
4.585508872912602,68304.33333903138,0.0,12224.758771777197,12224.758771777197,0.0,26008.20980781409,26008.20980781409,0.0,38232.96857959129,38232.96857959129,2802450.0032369113,30071.364756674506,38232.96858235687,2.765584213193506e-06,4.048914729123282e-09,0.0,240,1,0.0,240,2,0,1.7039291205191337e-08,2010-03-30,6522.536169929949,0.0
17.51279352551627,260865.19943962016,0.0,14858.898583621445,14858.898583621445,0.0,62442.21532614464,62442.21532614463,-7.275957614183426e-12,77301.11390976608,77301.11390976608,2986014.0887669297,183564.08553001843,77301.11390960173,-1.6434933058917522e-07,-6.300163108847929e-11,0.0,233,1,0.0,233,2,0,1.644771523790757e-08,2010-03-31,6522.536169929949,0.0
0.0,0.0,0.0,15476.782235448229,15476.782235448229,0.0,23139.713945762596,23139.71394576258,-1.4551915228366852e-11,38616.49618121082,38616.49618121082,2947397.5925867176,-38616.496180212125,38616.496180212125,-9.98697942122817e-07,-2.586195126135607e-09,0.0,242,1,0.0,242,2,0,1.0871214052384709e-08,2010-04-01,6522.536169929949,0.0
22.590742258589746,336504.76585530024,0.0,17728.747148062423,17728.747148062423,0.0,96315.77056739414,96315.77056739415,1.4551915228366852e-11,114044.51771545656,114044.51771545656,3169857.8407390215,222460.24815230398,114044.51770299627,-1.2460295693017542e-05,-3.7028586092523784e-09,0.0,232,1,0.0,232,2,0,1.5699587331982244e-08,2010-04-02,6522.536169929949,0.0
0.0,0.0,0.0,18210.29703285144,18210.29703285144,0.0,30247.940723208736,30247.94072320871,-2.546585164964199e-11,48458.237756060174,48458.237756060174,3121399.6029959624,-48458.23774305917,48458.23774305917,-1.300100120715797e-05,-2.6829290145888698e-08,0.0,241,1,0.0,241,2,0,1.1347501636924462e-08,2010-04-03,6522.536169929949,0.0
36.36297090527115,541651.6584632676,0.0,21525.950225890527,21525.950225890527,0.0,183274.42039358252,183274.42039358258,5.820766091346741e-11,204800.37061947305,204800.37061947305,3458250.8908498418,336851.2878538794,204800.37060938822,-1.0084826499223709e-05,-1.8618657104892104e-09,0.0,228,1,0.0,228,2,0,1.396525233488806e-08,2010-04-04,6522.536169929949,0.0
0.0,0.0,0.0,22324.655043144277,22324.655043144277,0.0,42072.99290177389,42072.992901773876,-1.4551915228366852e-11,64397.647944918164,64397.647944918164,3393853.2429203847,-64397.647929457016,64397.647929457016,-1.546114799566567e-05,-2.4008870648335163e-08,0.0,241,1,0.0,241,2,0,1.1794598679909312e-08,2010-04-05,6522.536169929949,0.0
0.0,0.0,0.0,20436.23606408944,20436.23606408944,0.0,37227.0787091375,37227.07870913751,7.275957614183426e-12,57663.31477322694,57663.31477322694,3336189.928157199,-57663.31476318557,57663.31476318557,-1.0041374480351806e-05,-1.7413800298927687e-08,0.0,242,1,0.0,242,2,0,1.1621604287416546e-08,2010-04-06,6522.536169929949,0.0
0.0,0.0,0.0,19174.139319257345,19174.139319257345,0.0,34291.74854650744,34291.748546507435,-7.275957614183426e-12,53465.88786576479,53465.88786576479,3282724.0402926793,-53465.88786451984,53465.88786451984,-1.244945451617241e-06,-2.328485509756966e-09,0.0,242,1,0.0,242,2,0,1.1507668792480283e-08,2010-04-07,6522.536169929949,0.0
0.0,0.0,0.0,18208.486433472754,18208.486433472754,0.0,31960.54310928879,31960.543109288763,-2.546585164964199e-11,50169.02954276154,50169.02954276154,3232555.0107450644,-50169.02954761498,50169.02954761498,4.8534348024986684e-06,9.674165209618649e-09,0.0,242,1,0.0,242,2,0,1.1425593227503446e-08,2010-04-08,6522.536169929949,0.0
0.0,0.0,0.0,17401.364794821853,17401.364794821853,0.0,29960.113590637306,29960.113590637277,-2.9103830456733704e-11,47361.47838545916,47361.47838545916,3185193.5323514063,-47361.478393658064,47361.478393658064,8.19890556158498e-06,1.731133790511669e-08,0.0,243,1,0.0,243,2,0,1.1424390638365872e-08,2010-04-09,6522.536169929949,0.0
0.0,0.0,0.0,16693.401054322756,16693.401054322756,0.0,28173.84092019315,28173.84092019315,0.0,44867.241974515906,44867.241974515906,3140326.2903663768,-44867.24198502954,44867.24198502954,1.051363506121561e-05,2.343276429766644e-08,0.0,243,1,0.0,243,2,0,1.1341884801981817e-08,2010-04-10,6522.536169929949,0.0
50.93522138811613,758715.4308964206,0.0,22516.05287310362,22516.05287310362,0.0,251800.80576682414,251800.80576682414,0.0,274316.85863992776,274316.85863992776,3624724.862620037,484398.5722536603,274316.8586427603,2.8325594030320644e-06,3.733362058664606e-10,0.0,229,1,0.0,229,2,0,1.3194710121958957e-08,2010-04-11,6522.536169929949,0.0
2.649482856889395,39465.88377618251,0.0,24896.14356783241,24896.14356783241,0.0,60351.48419530962,60351.48419530959,-2.9103830456733704e-11,85247.62776314202,85247.62776314202,3578943.11866211,-45781.743957926985,85247.6277341095,-2.9032526072114706e-05,-3.405669674795023e-08,0.0,239,1,0.0,239,2,0,1.0709122349832455e-08,2010-04-12,6522.536169929949,0.0
0.0,0.0,0.0,22804.92043581606,22804.92043581606,0.0,45281.18637434965,45281.18637434963,-2.1827872842550278e-11,68086.10681016571,68086.10681016571,3510857.011872723,-68086.1067893873,68086.1067893873,-2.0778417820110917e-05,-3.0517852750847196e-08,0.0,241,1,0.0,241,2,0,1.1821720915055083e-08,2010-04-13,6522.536169929949,0.0
0.0,0.0,0.0,21232.10458746743,21232.10458746743,0.0,41149.456482245834,41149.45648224582,-1.4551915228366852e-11,62381.561069713265,62381.561069713265,3448475.450809746,-62381.56106297672,62381.56106297672,-6.7365472204983234e-06,-1.0798939790830227e-08,0.0,242,1,0.0,242,2,0,1.1810693949893203e-08,2010-04-14,6522.536169929949,0.0
0.0,0.0,0.0,20057.55711496091,20057.55711496091,0.0,38021.344300941535,38021.34430094152,-1.4551915228366852e-11,58078.901415902445,58078.901415902445,3390396.5493917195,-58078.90141802654,58078.90141802654,2.12409213418141e-06,3.657252603476646e-09,0.0,242,1,0.0,242,2,0,1.1717825027497262e-08,2010-04-15,6522.536169929949,0.0
0.0,0.0,0.0,19092.74977074935,19092.74977074935,0.0,35379.73524381194,35379.73524381191,-2.9103830456733704e-11,54472.48501456129,54472.48501456129,3335924.0643698666,-54472.48502185289,54472.48502185289,7.29160092305392e-06,1.3385842265372558e-08,0.0,243,1,0.0,243,2,0,1.1684183562303286e-08,2010-04-16,6522.536169929949,0.0
0.0,0.0,0.0,18252.867820773758,18252.867820773758,0.0,33081.890451400424,33081.89045140042,-7.275957614183426e-12,51334.758272174186,51334.758272174186,3284589.3060870282,-51334.75828283839,51334.75828283839,1.0664203728083521e-05,2.077384619077606e-08,0.0,243,1,0.0,243,2,0,1.156434173028408e-08,2010-04-17,6522.536169929949,0.0
0.0,0.0,0.0,17502.432373580643,17502.432373580643,0.0,31038.088569409007,31038.088569409,-7.275957614183426e-12,48540.52094298965,48540.52094298965,3236048.7851312268,-48540.520955801476,48540.520955801476,1.28118263091892e-05,2.639408489425772e-08,0.0,243,1,0.0,243,2,0,1.1444189041466654e-08,2010-04-18,6522.536169929949,0.0
0.0,0.0,0.0,16820.03689701929,16820.03689701929,0.0,29205.90962129222,29205.909621292216,-3.637978807091713e-12,46025.94651831151,46025.94651831151,3190022.8385989377,-46025.94653228903,46025.94653228903,1.3977522030472755e-05,3.0368787789441695e-08,0.0,243,1,0.0,243,2,0,1.1400714508277494e-08,2010-04-19,6522.536169929949,0.0
0.0,0.0,0.0,16191.226302745063,16191.226302745063,0.0,27552.651469393022,27552.65146939302,-3.637978807091713e-12,43743.87777213808,43743.87777213808,3146278.960812484,-43743.87778645381,43743.87778645381,1.4315730368252844e-05,3.272624900366287e-08,0.0,243,1,0.0,243,2,0,1.1293394335151861e-08,2010-04-20,6522.536169929949,0.0
