date,Q_m3d,storage_m3,substeps
2021-09-05,440.8891356693348,932851.7781593296,243
2021-09-06,439.87074680114165,932411.9074125284,243
2021-09-07,438.85507692338433,931973.052335605,243
2021-09-08,437.84575901483186,931535.2065765902,243
2021-09-09,436.8421136039542,931098.3644629862,243
2021-09-10,435.84035693469923,930662.5241060515,243
2021-09-11,434.84060696989764,930227.6834990816,243
2021-09-12,433.84295376145747,929793.8405453202,243
2021-09-13,432.8474645438837,929360.9930807763,243
2021-09-14,431.85418920975644,928929.1388915665,243
2021-09-15,430.86316465516575,928498.2757269114,243
2021-09-16,429.8744180635549,928068.4013088478,243
2021-09-17,428.8879693779163,927639.5133394699,243
2021-09-18,427.90383316599764,927211.6095063039,243
2021-09-19,426.9220200208947,926784.687486283,243
2021-09-20,425.9425376105355,926358.7449486725,243
2021-09-21,424.96539146394935,925933.7795572085,243
2021-09-22,423.9905855534598,925509.7889716551,243
2021-09-23,423.0181227301946,925086.7708489249,243
2021-09-24,422.0480050413171,924664.7228438836,243
2021-09-25,421.08023396204226,924243.6426099215,243
2021-09-26,420.1148105667671,923823.5277993547,243
2021-09-27,419.15173360460903,923404.3760657501,243
2021-09-28,418.190988367307,922986.1850773828,243
2021-09-29,417.2325552623952,922568.9525221204,243
2021-09-30,416.2764203087427,922152.6761018117,243
2021-10-01,415.3225741501665,921737.3535276615,243
2021-10-02,414.3710108344676,921322.9825168271,243
2021-10-03,413.42247808980756,920909.5600387373,243
2021-10-04,412.4843261144124,920497.0757126228,243
2021-10-05,411.5503525233362,920085.5253600995,243
2021-10-06,410.61830664635636,919674.9070534531,243
2021-10-07,409.68822603696026,919265.2188274162,243
2021-10-08,408.7601438644342,918856.4586835518,243
2021-10-09,407.8340298193507,918448.6246537324,243
2021-10-10,406.90993155376054,918041.7147221786,243
2021-10-11,405.98792282748036,917635.7267993512,243
2021-10-12,405.0680225742981,917230.6587767769,243
2021-10-13,404.1502476960886,916826.5085290808,243
2021-10-14,403.23461318947375,916423.2739158913,243
2021-10-15,402.32102608832065,916020.952889803,243
2021-10-16,401.4092090409249,915619.543680762,243
2021-10-17,400.4991832538508,915219.0444975082,243
2021-10-18,399.59102115256246,914819.4534763556,243
2021-10-19,398.68478220456745,914420.7686941511,243
2021-10-20,397.7805163569283,914022.9881777941,243
2021-10-21,396.8782663056627,913626.1099114885,243
2021-10-22,395.97806878609117,913230.1318427024,243
2021-10-23,395.0799555670237,912835.0518871354,243
2021-10-24,394.18395423074253,912440.8679329046,243
2021-10-25,393.29008878872264,912047.5778441159,243
2021-10-26,392.3983801784925,911655.1794639374,243
2021-10-27,391.50884666573256,911263.6706172717,243
2021-10-28,390.62040332891047,910873.0502139428,243
2021-10-29,389.7302634289954,910483.3199505138,243
2021-10-30,388.84226879721973,910094.4776817166,243
2021-10-31,387.9567836011993,909706.5208981154,243
2021-11-01,387.0737920681713,909319.4471060472,243
2021-11-02,386.1932808305137,908933.2538252167,243
2021-11-03,385.31523818476126,908547.9385870319,243
2021-11-04,384.43965358135756,908163.4989334506,243
2021-11-05,383.56651727634016,907779.9324161742,243
2021-11-06,382.6958200930385,907397.2365960812,243
2021-11-07,381.8275532668922,907015.4090428143,243
2021-11-08,29029.104955158895,1374515.8268562343,229
2021-11-09,17649.68371323157,1446880.103385067,238
2021-11-10,10906.461031413171,1435973.642353654,242
