APN,Month,waterUse_m3Day
W0049,10,0.650333438
W0049,11,0.34825772
W0049,12,0.360371032
W0050,1,0.372484344
W0050,2,0.312296325
W0050,3,0.360371032
W0050,4,0.34825772
W0050,5,0.702572096
W0050,6,1.170827313
W0050,7,1.853336736
W0050,8,1.517570869
W0050,9,1.136001541
W0050,10,0.650333438
W0050,11,0.34825772
W0050,12,0.360371032
W0051,1,0.744590147
W0051,2,0.62459265
W0051,3,0.720742064
W0051,4,0.696893981
W0051,5,1.405144192
W0051,6,2.341654626
W0051,7,3.707052013
W0051,8,3.035520279
W0051,9,2.272003082
W0051,10,1.301045417
W0051,11,0.696893981
W0051,12,0.720742064
W0052,1,0.744590147
W0052,2,0.62459265
W0052,3,0.720742064
W0052,4,0.696893981
W0052,5,1.405144192
W0052,6,2.341654626
W0052,7,3.707052013
W0052,8,3.035520279
W0052,9,2.272003082
W0052,10,1.301045417
W0052,11,0.696893981
W0052,12,0.720742064
W0053,1,0.744590147
W0053,2,0.62459265
W0053,3,0.720742064
W0053,4,0.696893981
W0053,5,1.405144192
W0053,6,2.341654626
W0053,7,3.707052013
W0053,8,3.035520279
W0053,9,2.272003082
W0053,10,1.301045417
W0053,11,0.696893981
W0053,12,0.720742064
W0054,1,0.744590147
W0054,2,0.62459265
W0054,3,0.720742064
W0054,4,0.696893981
W0054,5,1.405144192
W0054,6,2.341654626
W0054,7,3.707052013
W0054,8,3.035520279
W0054,9,2.272003082
W0054,10,1.301045417
W0054,11,0.696893981
W0054,12,0.720742064
W0055,1,0.744590147
W0055,2,0.62459265
W0055,3,0.720742064
W0055,4,0.696893981
W0055,5,1.405144192
W0055,6,2.341654626
W0055,7,3.707052013
W0055,8,3.035520279
W0055,9,2.272003082
W0055,10,1.301045417
W0055,11,0.696893981
W0055,12,0.720742064
W0056,1,0.744590147
W0056,2,0.62459265
W0056,3,0.720742064
W0056,4,0.696893981
W0056,5,1.405144192
W0056,6,2.341654626
W0056,7,3.707052013
W0056,8,3.035520279
W0056,9,2.272003082
W0056,10,1.301045417
W0056,11,0.696893981
W0056,12,0.720742064
W0057,1,0.744590147
W0057,2,0.62459265
W0057,3,0.720742064
W0057,4,0.696893981
W0057,5,1.405144192
W0057,6,2.341654626
W0057,7,3.707052013
W0057,8,3.035520279
W0057,9,2.272003082
W0057,10,1.301045417
W0057,11,0.696893981
W0057,12,0.720742064
W0058,1,0.744590147
W0058,2,0.62459265
W0058,3,0.720742064
W0058,4,0.696893981
W0058,5,1.405144192
W0058,6,2.341654626
W0058,7,3.707052013
W0058,8,3.035520279
W0058,9,2.272003082
W0058,10,1.301045417
W0058,11,0.696893981
W0058,12,0.720742064
W0059,1,0.744590147
W0059,2,0.62459265
W0059,3,0.720742064
W0059,4,0.696893981
W0059,5,1.405144192
W0059,6,2.341654626
W0059,7,3.707052013
W0059,8,3.035520279
W0059,9,2.272003082
W0059,10,1.301045417
W0059,11,0.696893981
W0059,12,0.720742064
W0060,1,0.744590147
W0060,2,0.62459265
W0060,3,0.720742064
W0060,4,0.696893981
W0060,5,1.405144192
W0060,6,2.341654626
W0060,7,3.707052013
W0060,8,3.035520279
W0060,9,2.272003082
W0060,10,1.301045417
W0060,11,0.696893981
W0060,12,0.720742064
W0061,1,0.744590147
W0061,2,0.62459265
W0061,3,0.720742064
W0061,4,0.696893981
W0061,5,1.405144192
W0061,6,2.341654626
W0061,7,3.707052013
W0061,8,3.035520279
W0061,9,2.272003082
W0061,10,1.301045417
W0061,11,0.696893981
W0061,12,0.720742064
W0062,1,0.744590147
W0062,2,0.62459265
W0062,3,0.720742064
W0062,4,0.696893981
W0062,5,1.405144192
W0062,6,2.341654626
W0062,7,3.707052013
W0062,8,3.035520279
W0062,9,2.272003082
W0062,10,1.301045417
W0062,11,0.696893981
W0062,12,0.720742064
W0063,1,0.744590147
W0063,2,0.62459265
W0063,3,0.720742064
W0063,4,0.696893981
W0063,5,1.405144192
W0063,6,2.341654626
W0063,7,3.707052013
W0063,8,3.035520279
W0063,9,2.272003082
W0063,10,1.301045417
W0063,11,0.696893981
W0063,12,0.720742064
